"product_id","genre_name"
eef8727e-8594-42b7-a85a-6388245f417e,RPG
eef8727e-8594-42b7-a85a-6388245f417e,ACCION
"06ae8788-0370-495e-9386-3309e1a591fd",Aventura
f8109538-d277-46d4-a540-24cc2a8f79a9,Aventura
"3bb848a5-bcb5-4bcc-a409-d3c68495ebb2",ACCION
"3bb848a5-bcb5-4bcc-a409-d3c68495ebb2",Estrategia
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",ACCION
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",Indie
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,RPG
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Aventura
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Indie
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Simulación
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,Indie
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,Zombies
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",Acción
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",RPG
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Acción
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Aventura
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Indie
eef8727e-8594-42b7-a85a-6388245f417e,RPG
eef8727e-8594-42b7-a85a-6388245f417e,ACCION
"06ae8788-0370-495e-9386-3309e1a591fd",Aventura
f8109538-d277-46d4-a540-24cc2a8f79a9,Aventura
"3bb848a5-bcb5-4bcc-a409-d3c68495ebb2",ACCION
"3bb848a5-bcb5-4bcc-a409-d3c68495ebb2",Estrategia
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",ACCION
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",Indie
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,RPG
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Aventura
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Indie
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Simulación
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,Indie
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,Zombies
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",Acción
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",RPG
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Acción
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Aventura
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Indie
eef8727e-8594-42b7-a85a-6388245f417e,RPG
eef8727e-8594-42b7-a85a-6388245f417e,ACCION
"06ae8788-0370-495e-9386-3309e1a591fd",Aventura
f8109538-d277-46d4-a540-24cc2a8f79a9,Aventura
"3bb848a5-bcb5-4bcc-a409-d3c68495ebb2",ACCION
"3bb848a5-bcb5-4bcc-a409-d3c68495ebb2",Estrategia
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",ACCION
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",Indie
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,RPG
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Aventura
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Indie
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Simulación
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,Indie
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,Zombies
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",Acción
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",RPG
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Acción
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Aventura
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Indie
eef8727e-8594-42b7-a85a-6388245f417e,RPG
eef8727e-8594-42b7-a85a-6388245f417e,ACCION
"06ae8788-0370-495e-9386-3309e1a591fd",Aventura
f8109538-d277-46d4-a540-24cc2a8f79a9,Aventura
"3bb848a5-bcb5-4bcc-a409-d3c68495ebb2",ACCION
"3bb848a5-bcb5-4bcc-a409-d3c68495ebb2",Estrategia
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",ACCION
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",Indie
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,RPG
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Aventura
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Indie
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,Simulación
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,Indie
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,Zombies
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",Acción
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",RPG
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Acción
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Aventura
"836a5c55-1606-41da-ac28-8b0e9a0fd004",Indie
