"product_id","images"
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",http://res.cloudinary.com/djs6t9owh/image/upload/v1748545084/uploads/images/ggfhfve3exenyjkkt992.jpg
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",http://res.cloudinary.com/djs6t9owh/image/upload/v1748545085/uploads/images/utrph5yt2teeruuscnh3.jpg
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",http://res.cloudinary.com/djs6t9owh/image/upload/v1748545087/uploads/images/guroqqhya8rpzgftrvib.jpg
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",http://res.cloudinary.com/djs6t9owh/image/upload/v1748545089/uploads/images/utaqjt3woxiamhpupatt.jpg
"836a5c55-1606-41da-ac28-8b0e9a0fd004",http://res.cloudinary.com/djs6t9owh/image/upload/v1748549144/uploads/images/ifdc578uy9syiakcqlqa.jpg
"836a5c55-1606-41da-ac28-8b0e9a0fd004",http://res.cloudinary.com/djs6t9owh/image/upload/v1748549145/uploads/images/ymnfzmtab0joiprzprmw.jpg
"836a5c55-1606-41da-ac28-8b0e9a0fd004",http://res.cloudinary.com/djs6t9owh/image/upload/v1748549146/uploads/images/epsdl3fblq3oops8mpos.jpg
"836a5c55-1606-41da-ac28-8b0e9a0fd004",http://res.cloudinary.com/djs6t9owh/image/upload/v1748549148/uploads/images/mpw1ugnsxhtyqwbyzjef.jpg
"836a5c55-1606-41da-ac28-8b0e9a0fd004",http://res.cloudinary.com/djs6t9owh/image/upload/v1748549149/uploads/images/htp6rsb0d6awcns6npil.jpg
eef8727e-8594-42b7-a85a-6388245f417e,http://res.cloudinary.com/djs6t9owh/image/upload/v1735330754/uploads/images/tz6qafubosdgboa2jhvk.jpg
eef8727e-8594-42b7-a85a-6388245f417e,http://res.cloudinary.com/djs6t9owh/image/upload/v1735330756/uploads/images/tptoabjmhgvnd3owtmhc.jpg
eef8727e-8594-42b7-a85a-6388245f417e,http://res.cloudinary.com/djs6t9owh/image/upload/v1735330758/uploads/images/oocd0xfn23tvac5ooohi.jpg
eef8727e-8594-42b7-a85a-6388245f417e,http://res.cloudinary.com/djs6t9owh/image/upload/v1735330760/uploads/images/soh1bpho6auzwmqh3s76.jpg
eef8727e-8594-42b7-a85a-6388245f417e,http://res.cloudinary.com/djs6t9owh/image/upload/v1735330762/uploads/images/s2ihnfnjlmflbhkk2mio.jpg
"06ae8788-0370-495e-9386-3309e1a591fd",http://res.cloudinary.com/djs6t9owh/image/upload/v1735331126/uploads/images/j0k8jbipevveqxx4cxiu.jpg
"06ae8788-0370-495e-9386-3309e1a591fd",http://res.cloudinary.com/djs6t9owh/image/upload/v1735331128/uploads/images/dgizfvp6t5djz410fftd.jpg
